"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Jake Browning","TB","22.5","14.3","157.5","1.0","0.9","3.1","15.8","0.0","0.1","11.3"
"Teddy Bridgewater","DET","21.8","13.7","157.9","1.0","0.4","3.1","8.9","0.0","0.0","11.0"
"Tyrod Taylor","GB","25.0","15.4","173.6","0.9","0.8","2.1","10.7","0.0","0.2","10.9"
"Tommy DeVito","NE","22.5","14.6","149.8","1.0","0.4","1.9","9.5","0.1","0.1","10.6"
"Tyler Huntley","BAL","18.3","11.8","131.3","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"Mac Jones","SF","22.5","14.9","160.2","1.0","0.5","2.7","8.4","0.0","0.1","10.5"
"Trey Lance","LAC","22.2","13.6","148.2","1.0","0.8","3.2","13.4","0.0","0.1","10.4"
"Tanner McKee","PHI","20.3","12.8","141.1","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"Joe Flacco","CIN","24.8","16.1","169.2","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"Kenny Pickett","CAR","22.5","14.4","155.9","1.0","0.8","2.8","10.9","0.0","0.1","10.2"
"Spencer Rattler","NO","23.0","15.0","156.8","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"Sam Howell","DAL","22.0","13.9","144.8","1.1","0.7","1.3","7.0","0.1","0.1","10.2"
"Drew Lock","SEA","20.6","13.0","146.7","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"Behren Morton","NE","15.0","10.0","121.0","1.0","0.0","2.0","10.0","0.0","0.0","9.8"
"Nick Mullens","JAC","18.8","13.2","140.2","1.1","0.4","3.1","3.7","0.0","0.1","9.8"
"Chris Oladokun","KC","23.0","14.0","148.0","1.0","0.0","4.0","18.0","0.0","1.0","9.7"
"Gardner Minshew II","ARI","22.9","14.3","147.9","0.8","0.3","2.4","9.3","0.0","0.1","9.7"
"Cade Klubnik","NYJ","20.6","13.0","136.8","0.9","0.6","1.8","8.2","0.0","0.1","9.4"
"Drew Allar","PIT","19.5","12.5","130.6","0.9","0.3","1.7","6.8","0.0","0.1","9.3"
"Adrian Martinez","SF","16.0","11.0","115.0","1.0","0.0","3.0","7.0","0.0","0.0","9.3"
"Garrett Nussmeier","KC","17.0","11.0","111.0","1.0","0.0","2.0","8.0","0.0","0.0","9.2"
"Cole Payton","PHI","14.0","9.0","105.0","1.0","0.0","2.0","10.0","0.0","0.0","9.2"
"Kyle Allen","BUF","21.0","12.4","138.3","1.0","0.6","2.0","4.0","0.0","0.1","9.1"
"Mitchell Trubisky","TEN","23.3","13.5","138.5","0.8","0.4","2.6","4.7","0.0","0.1","9.0"
"Jalen Milroe","SEA","11.0","7.0","90.0","1.0","0.0","5.0","14.0","0.0","0.0","9.0"
"Joe Milton III","DAL","16.3","10.3","119.3","0.7","0.3","3.0","14.3","0.0","0.0","8.5"
"Will Howard","PIT","14.0","8.7","95.7","0.7","0.3","1.3","5.0","0.0","0.0","6.7"
"Mason Rudolph","PIT","10.5","6.5","67.0","0.5","0.0","2.0","8.5","0.0","0.0","5.5"
"Brady Cook","NYJ","10.0","6.5","60.0","0.5","0.5","2.0","10.0","0.0","0.0","4.9"
"Josh Johnson","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Stetson Bennett IV","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Aidan O'Connell","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
