"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Luther Burden III","CHI","WR28","7.7","38.2","0.1","72.7","973.2","5.7","0.3","135.4"
"Jaylen Waddle","DEN","WR29","1.7","12.4","0.0","74.6","984.4","6.0","0.3","135.2"
"Courtland Sutton","DEN","WR30","0.0","0.0","0.0","69.4","903.2","7.5","0.2","135.0"
"Christian Watson","GB","WR31","1.7","8.0","0.0","56.0","901.3","7.4","0.3","134.8"
"Kyle Monangai","CHI","RB33","191.3","816.9","5.2","22.9","192.7","0.4","0.7","133.0"
"Jacory Croskey-Merritt","WAS","RB34","182.6","821.1","7.5","11.2","79.5","0.2","1.7","132.4"
"RJ Harvey","DEN","RB35","130.5","495.7","4.6","46.6","344.3","3.5","0.8","131.3"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","78.1","916.3","6.7","0.2","131.2"
"DK Metcalf","PIT","WR32","0.7","3.3","0.3","64.2","923.8","6.1","0.2","130.6"
"Marvin Harrison Jr.","ARI","WR33","0.0","0.0","0.0","67.3","945.2","6.0","0.3","130.0"
"Rachaad White","WAS","RB36","140.2","618.6","5.4","38.9","262.4","1.6","0.8","128.3"
"Aaron Jones Sr.","MIN","RB37","160.0","682.8","3.6","41.0","303.4","1.7","1.6","127.1"
"Blake Corum","LAR","RB38","167.7","801.8","6.1","11.9","80.4","0.2","0.7","124.7"
"Jordan Mason","MIN","RB39","182.0","828.8","5.8","14.5","75.8","0.1","1.0","124.0"
"Brian Thomas Jr.","JAC","WR34","2.7","18.0","0.4","58.0","868.7","5.3","0.2","122.7"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","83.0","871.6","5.4","0.3","119.2"
"Kenny Gainwell","TB","RB40","113.6","498.5","3.9","49.7","352.2","2.0","0.9","118.6"
"Jonathon Brooks","CAR","RB41","167.9","678.5","4.3","26.5","204.6","1.1","1.4","118.1"
"Parker Washington","JAC","WR35","5.3","13.6","0.1","61.3","844.0","5.4","0.4","117.8"
"Kyle Pitts Sr.","ATL","TE5","0.0","0.0","0.0","79.5","881.0","4.7","0.1","116.2"
"Quentin Johnston","LAC","WR36","1.7","6.3","0.0","53.6","755.9","6.9","0.7","116.2"
"Carnell Tate","TEN","WR37","0.7","3.0","0.0","66.3","903.1","4.5","1.4","115.1"
"Tucker Kraft","GB","TE6","0.0","0.0","0.0","60.2","770.7","6.4","0.2","115.1"
"Deebo Samuel Sr.","SF","WR38","29.1","111.7","1.1","60.1","692.3","4.7","0.4","114.0"
