"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ty Chandler","NO","RB83","51.0","138.0","1.0","12.0","58.0","0.0","0.0","25.6"
"Ben Sims","MIA","TE59","0.0","0.0","0.0","19.5","184.7","1.2","0.0","25.4"
"John Bates","WAS","TE60","0.0","0.0","0.0","17.9","172.8","1.5","0.6","25.4"
"Marlin Klein","HOU","TE61","0.0","0.0","0.0","19.5","193.6","1.1","0.5","25.0"
"Jonah Coleman","DEN","RB84","28.3","118.4","0.9","8.1","58.6","0.3","0.1","24.7"
"Elijah Mitchell","PHI","RB85","35.0","159.0","1.0","2.0","22.0","0.0","0.0","24.1"
"Jam Miller","NE","RB86","34.0","156.0","1.0","2.0","25.0","0.0","0.0","24.1"
"LeQuint Allen Jr.","JAC","RB87","8.0","33.9","0.2","21.7","148.0","0.8","0.1","24.1"
"Phil Mafah","DAL","RB88","32.0","142.0","1.0","4.0","34.0","0.0","0.0","23.6"
"Elijah Higgins","ARI","TE62","0.0","0.0","0.0","22.0","196.1","0.8","0.6","23.5"
"Devontez Walker","BAL","WR132","0.0","0.0","0.0","11.6","166.4","1.2","0.1","23.5"
"Mitchell Evans","CAR","TE63","0.0","0.0","0.0","15.0","139.1","1.5","0.1","22.7"
"Zavion Thomas","CHI","WR133","0.0","0.0","0.0","12.5","153.6","1.2","0.1","22.4"
"Salvon Ahmed","CHI","RB89","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.4"
"Nate Boerkircher","JAC","TE64","0.0","0.0","0.0","14.9","155.3","1.3","0.5","22.2"
"Jeremy Ruckert","NYJ","TE65","0.0","0.0","0.0","19.7","145.8","1.3","0.0","22.1"
"Dameon Pierce","PHI","RB90","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Israel Abanikanda","DAL","RB91","32.0","147.0","1.0","1.0","14.0","0.0","0.0","22.1"
"Brashard Smith","KC","RB92","25.0","89.5","0.5","10.5","71.0","0.5","0.0","22.1"
"Odell Beckham Jr.","NYG","WR134","0.3","1.4","0.0","13.3","164.3","0.9","0.1","21.8"
"Nick Vannett","SEA","TE66","0.0","0.0","0.0","10.0","95.0","2.0","0.0","21.5"
"Donovan Edwards","MIA","RB93","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Malachi Fields","NYG","WR135","0.0","0.0","0.0","13.2","157.5","0.9","0.1","20.8"
"Audric Estime","NO","RB94","30.0","122.0","1.0","3.0","24.0","0.0","0.0","20.6"
"Isaiah Bond","CLE","WR136","4.3","23.5","0.1","9.9","130.1","0.8","0.1","20.5"
"Najee Harris","LAC","RB95","28.0","126.0","1.0","2.0","18.0","0.0","0.0","20.4"
"Demond Claiborne","MIN","RB96","27.7","121.6","0.9","3.3","25.2","0.1","0.1","20.4"
"Jeremy McNichols","WAS","RB97","17.0","88.0","1.0","7.0","55.0","0.0","0.0","20.3"
"Dont'e Thornton Jr.","LV","WR137","0.0","0.0","0.0","12.1","167.6","0.6","0.1","20.1"
"Jackson Hawes","BUF","TE67","0.0","0.0","0.0","10.6","115.1","1.4","0.0","20.1"
"Seth McGowan","IND","RB98","22.3","97.1","1.2","3.2","26.9","0.1","0.0","20.0"
"Nate Adkins","DEN","TE68","0.0","0.0","0.0","11.9","88.8","1.8","0.0","19.8"
"Ben Sinnott","WAS","TE69","0.0","0.0","0.0","11.8","116.0","1.4","0.0","19.8"
"Konata Mumpfield","LAR","WR138","0.0","0.0","0.0","9.9","126.7","1.2","0.1","19.4"
"Zack Kuntz","DAL","TE70","0.0","0.0","0.0","12.0","128.0","1.0","0.0","18.8"
"Drew Sample","CIN","TE71","0.0","0.0","0.0","15.1","123.1","1.1","0.1","18.6"
"Will Mallory","IND","TE72","0.0","0.0","0.0","11.0","126.0","1.0","0.0","18.6"
"Kaytron Allen","WAS","RB99","23.6","110.8","0.7","3.1","25.4","0.1","0.0","18.4"
"Tahj Brooks","CIN","RB100","30.6","129.4","0.9","0.0","0.0","0.0","0.1","18.3"
"Jack Endries","CIN","TE73","0.0","0.0","0.0","13.0","123.0","1.0","0.0","18.3"
"Foster Moreau","HOU","TE74","0.0","0.0","0.0","9.3","105.6","1.3","0.0","18.3"
"Cade Stover","HOU","TE75","0.0","0.0","0.0","15.2","128.1","0.9","0.1","17.9"
"Brenen Thompson","LAC","WR139","2.1","11.3","0.1","9.5","121.0","0.7","0.1","17.9"
"Hayden Rucci","SF","TE76","0.0","0.0","0.0","12.0","118.0","1.0","0.0","17.8"
"Luke Schoonmaker","DAL","TE77","0.0","0.0","0.0","13.2","121.6","0.9","0.0","17.8"
"Grant Calcaterra","PHI","TE78","0.0","0.0","0.0","11.0","115.5","1.0","0.0","17.6"
"Tanner Conner","NYG","TE79","0.0","0.0","0.0","10.0","113.0","1.0","0.0","17.3"
"Mack Hollins","NE","WR140","0.0","0.0","0.0","10.8","126.7","0.8","0.1","17.2"
"KeAndre Lambert-Smith","LAC","WR141","0.0","0.0","0.0","9.6","121.0","0.9","0.1","17.0"
"Teagan Quitoriano","ARI","TE80","0.0","0.0","0.0","12.0","109.0","1.0","0.0","16.9"
"Devin Neal","NO","RB101","22.5","90.0","1.0","2.5","17.5","0.0","0.0","16.8"
"Zaire Mitchell-Paden","NO","TE81","0.0","0.0","0.0","11.0","107.0","1.0","0.0","16.7"
"Dallen Bentley","DEN","TE82","0.0","0.0","0.0","12.0","105.0","1.0","0.0","16.5"
"Hunter Luepke","DAL","RB102","13.3","56.1","0.4","8.6","61.7","0.4","0.1","16.4"
"Mo Alie-Cox","IND","TE83","0.0","0.0","0.0","10.8","111.0","0.9","0.1","16.3"
"Charlie Woerner","ATL","TE84","0.0","0.0","0.0","14.5","127.3","0.6","0.0","16.2"
"Will Shipley","PHI","RB103","9.3","39.6","0.3","11.3","83.5","0.4","0.1","16.2"
"Thomas Fidone II","NYG","TE85","0.0","0.0","0.0","10.0","102.0","1.0","0.0","16.2"
"Tanner Hudson","CIN","TE86","0.0","0.0","0.0","13.1","110.3","0.9","0.1","16.2"
"Cam Grandy","CIN","TE87","0.0","0.0","0.0","13.0","100.0","1.0","0.0","16.0"
"Jaheim Bell","PIT","TE88","0.0","0.0","0.0","10.0","98.0","1.0","0.0","15.8"
"Devin Singletary","NYG","RB104","22.3","89.2","0.6","4.2","26.3","0.1","0.1","15.6"
"Kyle Williams","NE","WR142","4.1","22.3","0.2","6.4","91.5","0.6","0.1","15.6"
"Connor Heyward","LV","TE89","4.2","17.6","0.1","9.0","65.9","1.1","0.0","15.5"
"Drake Dabney","GB","TE90","0.0","0.0","0.0","9.0","94.0","1.0","0.0","15.4"
"Nicholas Singleton","TEN","RB105","20.3","83.4","0.6","4.3","29.9","0.2","0.1","15.4"
"Jerome Ford","WAS","RB106","17.5","97.0","0.5","4.0","24.0","0.0","0.0","15.1"
"Tez Johnson","TB","WR143","4.4","23.3","0.2","6.7","77.6","0.6","0.1","14.8"
"Jimmy Horn Jr.","CAR","WR144","6.2","36.8","0.2","6.6","76.6","0.4","0.1","14.8"
"Josh Whyle","GB","TE91","0.0","0.0","0.0","9.0","86.0","1.0","0.0","14.6"
"Durham Smythe","BAL","TE92","0.0","0.0","0.0","9.8","94.1","0.7","0.1","13.8"
"Mitch Tinsley","CIN","WR145","0.0","0.0","0.0","6.6","84.1","0.8","0.1","12.9"
"Isaac Guerendo","SF","RB107","16.5","80.0","0.5","2.0","18.5","0.0","0.0","12.9"
"Max Klare","LAR","TE93","0.0","0.0","0.0","7.5","82.6","0.7","0.0","12.3"
"Devin Culp","TB","TE94","0.0","0.0","0.0","5.5","59.0","1.0","0.0","11.9"
"Jalen Royals","KC","WR146","0.0","0.0","0.0","6.8","78.0","0.6","0.1","11.4"
"Michael Burton","CLE","RB108","6.6","13.3","0.6","5.1","32.2","0.6","0.0","11.3"
"Oscar Delp","NO","TE95","0.0","0.0","0.0","7.5","75.7","0.6","0.0","11.3"
"Tanner Koziol","JAC","TE96","0.0","0.0","0.0","7.0","73.3","0.6","0.0","11.1"
"Tyler Badie","DEN","RB109","4.1","17.7","0.1","8.0","65.5","0.4","0.1","11.1"
"Trevor Etienne","CAR","RB110","12.3","52.5","0.3","4.1","29.7","0.2","0.1","10.8"
"Payne Durham","TB","TE97","0.0","0.0","0.0","7.2","70.7","0.6","0.1","10.7"
"Josh Cuevas","BAL","TE98","0.0","0.0","0.0","5.7","66.4","0.6","0.0","10.5"
"Hunter Long","JAC","TE99","0.0","0.0","0.0","5.0","44.5","1.0","0.0","10.5"
"Andrew Beck","NYJ","TE100","0.5","4.0","0.0","4.6","31.6","1.1","0.0","10.2"
"Greg Dortch","DET","WR147","4.6","24.0","0.4","4.1","39.8","0.3","0.1","10.0"
"Ian Thomas","LV","TE101","0.0","0.0","0.0","6.9","62.0","0.6","0.0","9.6"
"Jack Stoll","CLE","TE102","0.0","0.0","0.0","7.3","60.7","0.6","0.0","9.5"
"Malik Benson","LV","WR148","0.0","0.0","0.0","6.4","79.3","0.3","0.1","9.3"
"Anthony Gould","IND","WR149","0.0","0.0","0.0","7.0","74.5","0.3","0.1","9.3"
"Joe Royer","CLE","TE103","0.0","0.0","0.0","7.5","67.3","0.3","0.1","8.7"
"Bo Melton","GB","WR150","4.5","26.0","0.1","2.9","37.5","0.3","0.1","8.6"
"Alec Ingold","LAC","RB111","2.1","8.6","0.1","7.9","58.3","0.2","0.1","8.4"
"Chris Manhertz","NYG","TE104","0.0","0.0","0.0","5.4","50.7","0.6","0.0","8.4"
"Lucas Krull","DEN","TE105","0.0","0.0","0.0","6.0","44.5","0.5","0.0","7.5"
"Malachi Corley","CLE","WR151","6.4","43.8","0.2","1.7","16.5","0.1","0.1","7.4"
"Cole Turner","MIA","TE106","0.0","0.0","0.0","4.5","44.0","0.5","0.0","7.4"
"Kendre Miller","NO","RB112","12.9","54.8","0.3","0.0","0.0","0.0","0.0","7.2"
"Tyrell Shavers","BUF","WR152","0.0","0.0","0.0","4.0","52.2","0.3","0.0","6.9"
"Derius Davis","LAC","WR153","2.1","11.0","0.1","3.5","37.9","0.3","0.1","6.7"
"Xavier Smith","LAR","WR154","0.0","0.0","0.0","3.6","44.4","0.3","0.0","6.3"
"Adam Prentice","DEN","RB113","4.1","17.4","0.1","4.1","29.8","0.2","0.0","6.3"
"Ben Skowronek","PIT","WR155","0.0","0.0","0.0","5.4","51.0","0.2","0.0","6.3"
"CJ Daniels","LAR","WR156","0.0","0.0","0.0","3.4","42.8","0.3","0.0","6.3"
"Isaiah Williams","NYJ","WR157","2.2","12.7","0.1","3.8","35.8","0.1","0.1","6.2"
"Colbie Young","CIN","WR158","0.0","0.0","0.0","3.5","43.2","0.3","0.0","6.2"
"Luke Farrell","SF","TE107","0.0","0.0","0.0","4.2","40.7","0.3","0.0","5.8"
"Brevyn Spann-Ford","DAL","TE108","0.0","0.0","0.0","3.9","36.8","0.3","0.0","5.6"
"Justin Joly","DEN","TE109","0.0","0.0","0.0","4.0","37.7","0.3","0.0","5.5"
"Jonathan Mingo","DAL","WR159","0.0","0.0","0.0","2.9","40.6","0.3","0.0","5.5"
"Justin Watson","HOU","WR160","0.0","0.0","0.0","3.1","41.6","0.2","0.0","5.4"
"Ko Kieft","TB","TE110","0.0","0.0","0.0","3.7","36.1","0.3","0.0","5.4"
"CJ Dippre","NE","TE111","0.0","0.0","0.0","3.9","37.3","0.3","0.0","5.3"
"Tyler Conklin","DET","TE112","0.0","0.0","0.0","3.7","38.0","0.3","0.0","5.2"
"Darius Cooper","PHI","WR161","0.0","0.0","0.0","3.3","37.7","0.3","0.0","5.2"
"Eric Saubert","SEA","TE113","0.0","0.0","0.0","3.4","34.4","0.3","0.0","5.2"
"Max Bredeson","MIN","RB114","2.0","8.5","0.1","4.5","29.4","0.2","0.0","5.1"
"Barion Brown","NO","WR162","0.0","0.0","0.0","3.3","39.9","0.2","0.0","5.1"
"Tai Felton","MIN","WR163","0.0","0.0","0.0","3.7","37.1","0.2","0.0","5.1"
"Drew Ogletree","IND","TE114","0.0","0.0","0.0","3.7","35.4","0.3","0.0","5.0"
"Sam Roush","CHI","TE115","0.0","0.0","0.0","3.7","33.8","0.3","0.0","5.0"
"Kaleb Johnson","PIT","RB115","8.6","35.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Johnny Mundt","PHI","TE116","0.0","0.0","0.0","3.5","35.4","0.2","0.0","4.8"
"Laquon Treadwell","IND","WR164","0.0","0.0","0.0","3.5","36.9","0.2","0.0","4.7"
"Reggie Virgil","ARI","WR165","0.0","0.0","0.0","3.4","39.3","0.1","0.0","4.7"
"Brycen Tremayne","CAR","WR166","0.0","0.0","0.0","3.3","36.5","0.2","0.0","4.6"
"Tip Reiman","ARI","TE117","0.0","0.0","0.0","3.8","34.5","0.2","0.0","4.6"
"Kaden Wetjen","PIT","WR167","2.1","11.7","0.1","1.6","18.8","0.1","0.0","4.0"
"Reggie Gilliam","NE","RB116","0.0","0.0","0.0","4.1","29.8","0.2","0.0","3.8"
"Riley Nowakowski","PIT","TE118","0.0","0.0","0.0","4.3","29.1","0.2","0.0","3.8"
"Patrick Ricard","NYG","RB117","0.0","0.0","0.0","4.0","26.9","0.1","0.0","3.5"
"Arian Smith","NYJ","WR168","4.3","23.7","0.2","0.0","0.0","0.0","0.0","3.4"
"British Brooks","HOU","RB118","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Kameron Johnson","TB","WR169","2.2","12.1","0.1","0.0","0.0","0.0","0.0","1.8"
"JuJu Smith-Schuster","NYG","WR170","0.0","0.0","0.0","0.7","6.4","0.0","0.0","0.9"
"David Moore","CAR","WR171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","WR172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","WR173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Bandy","DEN","WR175","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","WR176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Britain Covey","PHI","WR177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","WR178","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Cowing","SF","WR179","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Charlie Jones","CIN","WR180","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","WR181","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","WR182","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeshaun Jones","MIN","WR183","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","WR184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Efton Chism III","NE","WR185","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","WR186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","WR187","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","WR188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gage Larvadain","CLE","WR189","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Cameron","JAC","WR190","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Quintin Morris","JAC","TE119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","TE120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","TE121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","TE122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeeJay Dallas","JAC","RB119","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","RB120","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","RB121","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","RB122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","RB123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","RB124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","RB125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","RB126","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","RB127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","RB128","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
